Serial Fixed Addition: 32-bit with 577 cycles and 101 cells total.
Supports both unsigned and signed numbers.

Inputs:
	 x (32-bit): 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 
T166:	98  = NOR(9, 97)
T167:	99  = INIT1
T168:	99  = NOR(41, 97)
T169:	100 = INIT1
T170:	100 = NOR(98, 99)
T171:	98  = INIT1
T172:	98  = NOR(100, 96)
T173:	99  = INIT1
T174:	99  = NOR(98, 100)
T175:	100 = INIT1
T176:	100 = NOR(98, 96)
T177:	73  = INIT1
T178:	73  = NOR(100, 99)
T179:	96  = INIT1
T180:	96  = NOR(97, 98)
T181:	97  = INIT1
T182:	97  = NOR(10, 42)
T183:	98  = INIT1
T184:	98  = NOR(10, 97)
T185:	99  = INIT1
T186:	99  = NOR(42, 97)
T187:	100 = INIT1
T188:	100 = NOR(98, 99)
T189:	98  = INIT1
T190:	98  = NOR(100, 96)
T191:	99  = INIT1
T192:	99  = NOR(98, 100)
T193:	100 = INIT1
T194:	100 = NOR(98, 96)
T195:	74  = INIT1
T196:	74  = NOR(100, 99)
T197:	96  = INIT1
T198:	96  = NOR(97, 98)
T199:	97  = INIT1
T200:	97  = NOR(11, 43)
T201:	98  = INIT1
T202:	98  = NOR(11, 97)
T203:	99  = INIT1
T204:	99  = NOR(43, 97)
T205:	100 = INIT1
T206:	100 = NOR(98, 99)
T207:	98  = INIT1
T208:	98  = NOR(100, 96)
T209:	99  = INIT1
T210:	99  = NOR(98, 100)
T211:	100 = INIT1
T212:	100 = NOR(98, 96)
T213:	75  = INIT1
T214:	75  = NOR(100, 99)
T215:	96  = INIT1
T216:	96  = NOR(97, 98)
T217:	97  = INIT1
T218:	97  = NOR(12, 44)
T219:	98  = INIT1
T220:	98  = NOR(12, 97)
T221:	99  = INIT1
T222:	99  = NOR(44, 97)
T223:	100 = INIT1
T224:	100 = NOR(98, 99)
T225:	98  = INIT1
T226:	98  = NOR(100, 96)
T227:	99  = INIT1
T228:	99  = NOR(98, 100)
T229:	100 = INIT1
T230:	100 = NOR(98, 96)
T231:	76  = INIT1
T232:	76  = NOR(100, 99)
T233:	96  = INIT1
T234:	96  = NOR(97, 98)
T235:	97  = INIT1
T236:	97  = NOR(13, 45)
T237:	98  = INIT1
T238:	98  = NOR(13, 97)
T239:	99  = INIT1
T240:	99  = NOR(45, 97)
T241:	100 = INIT1
T242:	100 = NOR(98, 99)
T243:	98  = INIT1
T244:	98  = NOR(100, 96)
T245:	99  = INIT1
T246:	99  = NOR(98, 100)
T247:	100 = INIT1
T248:	100 = NOR(98, 96)
T249:	77  = INIT1
T250:	77  = NOR(100, 99)
T251:	96  = INIT1
T252:	96  = NOR(97, 98)
T253:	97  = INIT1
T254:	97  = NOR(14, 46)
T255:	98  = INIT1
T256:	98  = NOR(14, 97)
T257:	99  = INIT1
T258:	99  = NOR(46, 97)
T259:	100 = INIT1
T260:	100 = NOR(98, 99)
T261:	98  = INIT1
T262:	98  = NOR(100, 96)
T263:	99  = INIT1
T264:	99  = NOR(98, 100)
T265:	100 = INIT1
T266:	100 = NOR(98, 96)
T267:	78  = INIT1
T268:	78  = NOR(100, 99)
T269:	96  = INIT1
T270:	96  = NOR(97, 98)
T271:	97  = INIT1
T272:	97  = NOR(15, 47)
T273:	98  = INIT1
T274:	98  = NOR(15, 97)
T275:	99  = INIT1
T276:	99  = NOR(47, 97)
T277:	100 = INIT1
T278:	100 = NOR(98, 99)
T279:	98  = INIT1
T280:	98  = NOR(100, 96)
T281:	99  = INIT1
T282:	99  = NOR(98, 100)
T283:	100 = INIT1
T284:	100 = NOR(98, 96)
T285:	79  = INIT1
T286:	79  = NOR(100, 99)
T287:	96  = INIT1
T288:	96  = NOR(97, 98)
T289:	97  = INIT1
T290:	97  = NOR(16, 48)
T291:	98  = INIT1
T292:	98  = NOR(16, 97)
T293:	99  = INIT1
T294:	99  = NOR(48, 97)
T295:	100 = INIT1
T296:	100 = NOR(98, 99)
T297:	98  = INIT1
T298:	98  = NOR(100, 96)
T299:	99  = INIT1
T300:	99  = NOR(98, 100)
T301:	100 = INIT1
T302:	100 = NOR(98, 96)
T303:	80  = INIT1
T304:	80  = NOR(100, 99)
T305:	96  = INIT1
T306:	96  = NOR(97, 98)
T307:	97  = INIT1
T308:	97  = NOR(17, 49)
T309:	98  = INIT1
T310:	98  = NOR(17, 97)
T311:	99  = INIT1
T312:	99  = NOR(49, 97)
T313:	100 = INIT1
T314:	100 = NOR(98, 99)
T315:	98  = INIT1
T316:	98  = NOR(100, 96)
T317:	99  = INIT1
T318:	99  = NOR(98, 100)
T319:	100 = INIT1
T320:	100 = NOR(98, 96)
T321:	81  = INIT1
T322:	81  = NOR(100, 99)
T323:	96  = INIT1
T324:	96  = NOR(97, 98)
T325:	97  = INIT1
T326:	97  = NOR(18, 50)
T327:	98  = INIT1
T328:	98  = NOR(18, 97)
T329:	99  = INIT1
T330:	99  = NOR(50, 97)
T331:	100 = INIT1
T332:	100 = NOR(98, 99)
T333:	98  = INIT1
T334:	98  = NOR(100, 96)
T335:	99  = INIT1
T336:	99  = NOR(98, 100)
T337:	100 = INIT1
T338:	100 = NOR(98, 96)
T339:	82  = INIT1
T340:	82  = NOR(100, 99)
T341:	96  = INIT1
T342:	96  = NOR(97, 98)
T343:	97  = INIT1
T344:	97  = NOR(19, 51)
T345:	98  = INIT1
T346:	98  = NOR(19, 97)
T347:	99  = INIT1
T348:	99  = NOR(51, 97)
T349:	100 = INIT1
T350:	100 = NOR(98, 99)
T351:	98  = INIT1
T352:	98  = NOR(100, 96)
T353:	99  = INIT1
T354:	99  = NOR(98, 100)
T355:	100 = INIT1
T356:	100 = NOR(98, 96)
T357:	83  = INIT1
T358:	83  = NOR(100, 99)
T359:	96  = INIT1
T360:	96  = NOR(97, 98)
T361:	97  = INIT1
T362:	97  = NOR(20, 52)
T363:	98  = INIT1
T364:	98  = NOR(20, 97)
T365:	99  = INIT1
T366:	99  = NOR(52, 97)
T367:	100 = INIT1
T368:	100 = NOR(98, 99)
T369:	98  = INIT1
T370:	98  = NOR(100, 96)
T371:	99  = INIT1
T372:	99  = NOR(98, 100)
T373:	100 = INIT1
T374:	100 = NOR(98, 96)
T375:	84  = INIT1
T376:	84  = NOR(100, 99)
T377:	96  = INIT1
T378:	96  = NOR(97, 98)
T379:	97  = INIT1
T380:	97  = NOR(21, 53)
T381:	98  = INIT1
T382:	98  = NOR(21, 97)
T383:	99  = INIT1
T384:	99  = NOR(53, 97)
T385:	100 = INIT1
T386:	100 = NOR(98, 99)
T387:	98  = INIT1
T388:	98  = NOR(100, 96)
T389:	99  = INIT1
T390:	99  = NOR(98, 100)
T391:	100 = INIT1
T392:	100 = NOR(98, 96)
T393:	85  = INIT1
T394:	85  = NOR(100, 99)
T395:	96  = INIT1
T396:	96  = NOR(97, 98)
T397:	97  = INIT1
T398:	97  = NOR(22, 54)
T399:	98  = INIT1
T400:	98  = NOR(22, 97)
T401:	99  = INIT1
T402:	99  = NOR(54, 97)
T403:	100 = INIT1
T404:	100 = NOR(98, 99)
T405:	98  = INIT1
T406:	98  = NOR(100, 96)
T407:	99  = INIT1
T408:	99  = NOR(98, 100)
T409:	100 = INIT1
T410:	100 = NOR(98, 96)
T411:	86  = INIT1
T412:	86  = NOR(100, 99)
T413:	96  = INIT1
T414:	96  = NOR(97, 98)
T415:	97  = INIT1
T416:	97  = NOR(23, 55)
T417:	98  = INIT1
T418:	98  = NOR(23, 97)
T419:	99  = INIT1
T420:	99  = NOR(55, 97)
T421:	100 = INIT1
T422:	100 = NOR(98, 99)
T423:	98  = INIT1
T424:	98  = NOR(100, 96)
T425:	99  = INIT1
T426:	99  = NOR(98, 100)
T427:	100 = INIT1
T428:	100 = NOR(98, 96)
T429:	87  = INIT1
T430:	87  = NOR(100, 99)
T431:	96  = INIT1
T432:	96  = NOR(97, 98)
T433:	97  = INIT1
T434:	97  = NOR(24, 56)
T435:	98  = INIT1
T436:	98  = NOR(24, 97)
T437:	99  = INIT1
T438:	99  = NOR(56, 97)
T439:	100 = INIT1
T440:	100 = NOR(98, 99)
T441:	98  = INIT1
T442:	98  = NOR(100, 96)
T443:	99  = INIT1
T444:	99  = NOR(98, 100)
T445:	100 = INIT1
T446:	100 = NOR(98, 96)
T447:	88  = INIT1
T448:	88  = NOR(100, 99)
T449:	96  = INIT1
T450:	96  = NOR(97, 98)
T451:	97  = INIT1
T452:	97  = NOR(25, 57)
T453:	98  = INIT1
T454:	98  = NOR(25, 97)
T455:	99  = INIT1
T456:	99  = NOR(57, 97)
T457:	100 = INIT1
T458:	100 = NOR(98, 99)
T459:	98  = INIT1
T460:	98  = NOR(100, 96)
T461:	99  = INIT1
T462:	99  = NOR(98, 100)
T463:	100 = INIT1
T464:	100 = NOR(98, 96)
T465:	89  = INIT1
T466:	89  = NOR(100, 99)
T467:	96  = INIT1
T468:	96  = NOR(97, 98)
T469:	97  = INIT1
T470:	97  = NOR(26, 58)
T471:	98  = INIT1
T472:	98  = NOR(26, 97)
T473:	99  = INIT1
T474:	99  = NOR(58, 97)
T475:	100 = INIT1
T476:	100 = NOR(98, 99)
T477:	98  = INIT1
T478:	98  = NOR(100, 96)
T479:	99  = INIT1
T480:	99  = NOR(98, 100)
T481:	100 = INIT1
T482:	100 = NOR(98, 96)
T483:	90  = INIT1
T484:	90  = NOR(100, 99)
T485:	96  = INIT1
T486:	96  = NOR(97, 98)
T487:	97  = INIT1
T488:	97  = NOR(27, 59)
T489:	98  = INIT1
T490:	98  = NOR(27, 97)
T491:	99  = INIT1
T492:	99  = NOR(59, 97)
T493:	100 = INIT1
T494:	100 = NOR(98, 99)
T495:	98  = INIT1
T496:	98  = NOR(100, 96)
T497:	99  = INIT1
T498:	99  = NOR(98, 100)
T499:	100 = INIT1
T500:	100 = NOR(98, 96)
T501:	91  = INIT1
T502:	91  = NOR(100, 99)
T503:	96  = INIT1
T504:	96  = NOR(97, 98)
T505:	97  = INIT1
T506:	97  = NOR(28, 60)
T507:	98  = INIT1
T508:	98  = NOR(28, 97)
T509:	99  = INIT1
T510:	99  = NOR(60, 97)
T511:	100 = INIT1
T512:	100 = NOR(98, 99)
T513:	98  = INIT1
T514:	98  = NOR(100, 96)
T515:	99  = INIT1
T516:	99  = NOR(98, 100)
T517:	100 = INIT1
T518:	100 = NOR(98, 96)
T519:	92  = INIT1
T520:	92  = NOR(100, 99)
T521:	96  = INIT1
T522:	96  = NOR(97, 98)
T523:	97  = INIT1
T524:	97  = NOR(29, 61)
T525:	98  = INIT1
T526:	98  = NOR(29, 97)
T527:	99  = INIT1
T528:	99  = NOR(61, 97)
T529:	100 = INIT1
T530:	100 = NOR(98, 99)
T531:	98  = INIT1
T532:	98  = NOR(100, 96)
T533:	99  = INIT1
T534:	99  = NOR(98, 100)
T535:	100 = INIT1
T536:	100 = NOR(98, 96)
T537:	93  = INIT1
T538:	93  = NOR(100, 99)
T539:	96  = INIT1
T540:	96  = NOR(97, 98)
T541:	97  = INIT1
T542:	97  = NOR(30, 62)
T543:	98  = INIT1
T544:	98  = NOR(30, 97)
T545:	99  = INIT1
T546:	99  = NOR(62, 97)
T547:	100 = INIT1
T548:	100 = NOR(98, 99)
T549:	98  = INIT1
T550:	98  = NOR(100, 96)
T551:	99  = INIT1
T552:	99  = NOR(98, 100)
T553:	100 = INIT1
T554:	100 = NOR(98, 96)
T555:	94  = INIT1
T556:	94  = NOR(100, 99)
T557:	96  = INIT1
T558:	96  = NOR(97, 98)
T559:	97  = INIT1
T560:	97  = NOR(31, 63)
T561:	98  = INIT1
T562:	98  = NOR(31, 97)
T563:	99  = INIT1
T564:	99  = NOR(63, 97)
T565:	100 = INIT1
T566:	100 = NOR(98, 99)
T567:	98  = INIT1
T568:	98  = NOR(100, 96)
T569:	99  = INIT1
T570:	99  = NOR(98, 100)
T571:	100 = INIT1
T572:	100 = NOR(98, 96)
T573:	95  = INIT1
T574:	95  = NOR(100, 99)
T575:	96  = INIT1
T576:	96  = NOR(97, 98)
