Serial Floating Division: 1-bit sign, 8-bit exponent, and 23-bit mantissa with 19909 cycles and 139 cells total.
Supports only signed numbers.

Inputs:
	 xs (1-bit): 0 
T79: 	137 = INIT1
T80: 	137 = NOR(135, 132)
T81: 	104 = INIT1
T82: 	104 = NOR(137, 136)
T83: 	132 = INIT1
T84: 	132 = NOR(134, 135)
T85: 	133 = INIT1
T86: 	133 = NOT(44)
T87: 	134 = INIT1
T88: 	134 = NOR(12, 133)
T89: 	135 = INIT1
T90: 	135 = NOR(12, 134)
T91: 	136 = INIT1
T92: 	136 = NOR(133, 134)
T93: 	137 = INIT1
T94: 	137 = NOR(135, 136)
T95: 	135 = INIT1
T96: 	135 = NOR(137, 132)
T97: 	136 = INIT1
T98: 	136 = NOR(135, 137)
T99: 	137 = INIT1
T100:	137 = NOR(135, 132)
T101:	105 = INIT1
T102:	105 = NOR(137, 136)
T103:	132 = INIT1
T104:	132 = NOR(134, 135)
T105:	133 = INIT1
T106:	133 = NOT(45)
T107:	134 = INIT1
T108:	134 = NOR(13, 133)
T109:	135 = INIT1
T110:	135 = NOR(13, 134)
T111:	136 = INIT1
T112:	136 = NOR(133, 134)
T113:	137 = INIT1
T114:	137 = NOR(135, 136)
T115:	135 = INIT1
T116:	135 = NOR(137, 132)
T117:	136 = INIT1
T118:	136 = NOR(135, 137)
T119:	137 = INIT1
T120:	137 = NOR(135, 132)
T121:	106 = INIT1
T122:	106 = NOR(137, 136)
T123:	132 = INIT1
T124:	132 = NOR(134, 135)
T125:	133 = INIT1
T126:	133 = NOT(46)
T127:	134 = INIT1
T128:	134 = NOR(14, 133)
T129:	135 = INIT1
T130:	135 = NOR(14, 134)
T131:	136 = INIT1
T132:	136 = NOR(133, 134)
T133:	137 = INIT1
T134:	137 = NOR(135, 136)
T135:	135 = INIT1
T136:	135 = NOR(137, 132)
T137:	136 = INIT1
T138:	136 = NOR(135, 137)
T139:	137 = INIT1
T140:	137 = NOR(135, 132)
T141:	107 = INIT1
T142:	107 = NOR(137, 136)
T143:	132 = INIT1
T144:	132 = NOR(134, 135)
T145:	133 = INIT1
T146:	133 = NOT(47)
T147:	134 = INIT1
T148:	134 = NOR(15, 133)
T149:	135 = INIT1
T150:	135 = NOR(15, 134)
T151:	136 = INIT1
T152:	136 = NOR(133, 134)
T153:	137 = INIT1
T154:	137 = NOR(135, 136)
T155:	135 = INIT1
T156:	135 = NOR(137, 132)
T157:	136 = INIT1
T158:	136 = NOR(135, 137)
T159:	137 = INIT1
T160:	137 = NOR(135, 132)
T161:	108 = INIT1
T162:	108 = NOR(137, 136)
T163:	132 = INIT1
T164:	132 = NOR(134, 135)
T165:	133 = INIT1
T166:	133 = NOT(48)
T167:	134 = INIT1
T168:	134 = NOR(16, 133)
T169:	135 = INIT1
T170:	135 = NOR(16, 134)
T171:	136 = INIT1
T172:	136 = NOR(133, 134)
T173:	137 = INIT1
T174:	137 = NOR(135, 136)
T175:	135 = INIT1
T176:	135 = NOR(137, 132)
T177:	136 = INIT1
T178:	136 = NOR(135, 137)
T179:	137 = INIT1
T180:	137 = NOR(135, 132)
T181:	109 = INIT1
T182:	109 = NOR(137, 136)
T183:	132 = INIT1
T184:	132 = NOR(134, 135)
T185:	133 = INIT1
T186:	133 = NOT(49)
T187:	134 = INIT1
T188:	134 = NOR(17, 133)
T189:	135 = INIT1
T190:	135 = NOR(17, 134)
T191:	136 = INIT1
T192:	136 = NOR(133, 134)
T193:	137 = INIT1
T194:	137 = NOR(135, 136)
T195:	135 = INIT1
T196:	135 = NOR(137, 132)
T197:	136 = INIT1
T198:	136 = NOR(135, 137)
T199:	137 = INIT1
T200:	137 = NOR(135, 132)
T201:	110 = INIT1
T202:	110 = NOR(137, 136)
T203:	132 = INIT1
T204:	132 = NOR(134, 135)
T205:	133 = INIT1
T206:	133 = NOT(50)
T207:	134 = INIT1
T208:	134 = NOR(18, 133)
T209:	135 = INIT1
T210:	135 = NOR(18, 134)
T211:	136 = INIT1
T212:	136 = NOR(133, 134)
T213:	137 = INIT1
T214:	137 = NOR(135, 136)
T215:	135 = INIT1
T216:	135 = NOR(137, 132)
T217:	136 = INIT1
T218:	136 = NOR(135, 137)
T219:	137 = INIT1
T220:	137 = NOR(135, 132)
T221:	111 = INIT1
T222:	111 = NOR(137, 136)
T223:	132 = INIT1
T224:	132 = NOR(134, 135)
T225:	133 = INIT1
T226:	133 = NOT(51)
T227:	134 = INIT1
T228:	134 = NOR(19, 133)
T229:	135 = INIT1
T230:	135 = NOR(19, 134)
T231:	136 = INIT1
T232:	136 = NOR(133, 134)
T233:	137 = INIT1
T234:	137 = NOR(135, 136)
T235:	135 = INIT1
T236:	135 = NOR(137, 132)
T237:	136 = INIT1
T238:	136 = NOR(135, 137)
T239:	137 = INIT1
T240:	137 = NOR(135, 132)
T241:	112 = INIT1
T242:	112 = NOR(137, 136)
T243:	132 = INIT1
T244:	132 = NOR(134, 135)
T245:	133 = INIT1
T246:	133 = NOT(52)
T247:	134 = INIT1
T248:	134 = NOR(20, 133)
T249:	135 = INIT1
T250:	135 = NOR(20, 134)
T251:	136 = INIT1
T252:	136 = NOR(133, 134)
T253:	137 = INIT1
T254:	137 = NOR(135, 136)
T255:	135 = INIT1
T256:	135 = NOR(137, 132)
T257:	136 = INIT1
T258:	136 = NOR(135, 137)
T259:	137 = INIT1
T260:	137 = NOR(135, 132)
T261:	113 = INIT1
T262:	113 = NOR(137, 136)
T263:	132 = INIT1
T264:	132 = NOR(134, 135)
T265:	133 = INIT1
T266:	133 = NOT(53)
T267:	134 = INIT1
T268:	134 = NOR(21, 133)
T269:	135 = INIT1
T270:	135 = NOR(21, 134)
T271:	136 = INIT1
T272:	136 = NOR(133, 134)
T273:	137 = INIT1
T274:	137 = NOR(135, 136)
T275:	135 = INIT1
T276:	135 = NOR(137, 132)
T277:	136 = INIT1
T278:	136 = NOR(135, 137)
T279:	137 = INIT1
T280:	137 = NOR(135, 132)
T281:	114 = INIT1
T282:	114 = NOR(137, 136)
T283:	132 = INIT1
T284:	132 = NOR(134, 135)
T285:	133 = INIT1
T286:	133 = NOT(54)
T287:	134 = INIT1
T288:	134 = NOR(22, 133)
T289:	135 = INIT1
T290:	135 = NOR(22, 134)
T291:	136 = INIT1
T292:	136 = NOR(133, 134)
T293:	137 = INIT1
T294:	137 = NOR(135, 136)
T295:	135 = INIT1
T296:	135 = NOR(137, 132)
T297:	136 = INIT1
T298:	136 = NOR(135, 137)
T299:	137 = INIT1
T300:	137 = NOR(135, 132)
T301:	115 = INIT1
T302:	115 = NOR(137, 136)
T303:	132 = INIT1
T304:	132 = NOR(134, 135)
T305:	133 = INIT1
T306:	133 = NOT(55)
T307:	134 = INIT1
T308:	134 = NOR(23, 133)
T309:	135 = INIT1
T310:	135 = NOR(23, 134)
T311:	136 = INIT1
T312:	136 = NOR(133, 134)
T313:	137 = INIT1
T314:	137 = NOR(135, 136)
T315:	135 = INIT1
T316:	135 = NOR(137, 132)
T317:	136 = INIT1
T318:	136 = NOR(135, 137)
T319:	137 = INIT1
T320:	137 = NOR(135, 132)
T321:	116 = INIT1
T322:	116 = NOR(137, 136)
T323:	132 = INIT1
T324:	132 = NOR(134, 135)
T325:	133 = INIT1
T326:	133 = NOT(56)
T327:	134 = INIT1
T328:	134 = NOR(24, 133)
T329:	135 = INIT1
T330:	135 = NOR(24, 134)
T331:	136 = INIT1
T332:	136 = NOR(133, 134)
T333:	137 = INIT1
T334:	137 = NOR(135, 136)
T335:	135 = INIT1
T336:	135 = NOR(137, 132)
T337:	136 = INIT1
T338:	136 = NOR(135, 137)
T339:	137 = INIT1
T340:	137 = NOR(135, 132)
T341:	117 = INIT1
T342:	117 = NOR(137, 136)
T343:	132 = INIT1
T344:	132 = NOR(134, 135)
T345:	133 = INIT1
T346:	133 = NOT(57)
T347:	134 = INIT1
T348:	134 = NOR(25, 133)
T349:	135 = INIT1
T350:	135 = NOR(25, 134)
T351:	136 = INIT1
T352:	136 = NOR(133, 134)
T353:	137 = INIT1
T354:	137 = NOR(135, 136)
T355:	135 = INIT1
T356:	135 = NOR(137, 132)
T357:	136 = INIT1
T358:	136 = NOR(135, 137)
T359:	137 = INIT1
T360:	137 = NOR(135, 132)
T361:	118 = INIT1
T362:	118 = NOR(137, 136)
T363:	132 = INIT1
T364:	132 = NOR(134, 135)
T365:	133 = INIT1
T366:	133 = NOT(58)
T367:	134 = INIT1
T368:	134 = NOR(26, 133)
T369:	135 = INIT1
T370:	135 = NOR(26, 134)
T371:	136 = INIT1
T372:	136 = NOR(133, 134)
T373:	137 = INIT1
T374:	137 = NOR(135, 136)
T375:	135 = INIT1
T376:	135 = NOR(137, 132)
T377:	136 = INIT1
T378:	136 = NOR(135, 137)
T379:	137 = INIT1
T380:	137 = NOR(135, 132)
T381:	119 = INIT1
T382:	119 = NOR(137, 136)
T383:	132 = INIT1
T384:	132 = NOR(134, 135)
T385:	133 = INIT1
T386:	133 = NOT(59)
T387:	134 = INIT1
T388:	134 = NOR(27, 133)
T389:	135 = INIT1
T390:	135 = NOR(27, 134)
T391:	136 = INIT1
T392:	136 = NOR(133, 134)
T393:	137 = INIT1
T394:	137 = NOR(135, 136)
T395:	135 = INIT1
T396:	135 = NOR(137, 132)
T397:	136 = INIT1
T398:	136 = NOR(135, 137)
T399:	137 = INIT1
T400:	137 = NOR(135, 132)
T401:	120 = INIT1
T402:	120 = NOR(137, 136)
T403:	132 = INIT1
T404:	132 = NOR(134, 135)
T405:	133 = INIT1
T406:	133 = NOT(60)
T407:	134 = INIT1
T408:	134 = NOR(28, 133)
T409:	135 = INIT1
T410:	135 = NOR(28, 134)
T411:	136 = INIT1
T412:	136 = NOR(133, 134)
T413:	137 = INIT1
T414:	137 = NOR(135, 136)
T415:	135 = INIT1
T416:	135 = NOR(137, 132)
T417:	136 = INIT1
T418:	136 = NOR(135, 137)
T419:	137 = INIT1
T420:	137 = NOR(135, 132)
T421:	121 = INIT1
T422:	121 = NOR(137, 136)
T423:	132 = INIT1
T424:	132 = NOR(134, 135)
T425:	133 = INIT1
T426:	133 = NOT(61)
T427:	134 = INIT1
T428:	134 = NOR(29, 133)
T429:	135 = INIT1
T430:	135 = NOR(29, 134)
T431:	136 = INIT1
T432:	136 = NOR(133, 134)
T433:	137 = INIT1
T434:	137 = NOR(135, 136)
T435:	135 = INIT1
T436:	135 = NOR(137, 132)
T437:	136 = INIT1
T438:	136 = NOR(135, 137)
T439:	137 = INIT1
T440:	137 = NOR(135, 132)
T441:	122 = INIT1
T442:	122 = NOR(137, 136)
T443:	132 = INIT1
T444:	132 = NOR(134, 135)
T445:	133 = INIT1
T446:	133 = NOT(62)
T447:	134 = INIT1
T448:	134 = NOR(30, 133)
T449:	135 = INIT1
T450:	135 = NOR(30, 134)
T451:	136 = INIT1
T452:	136 = NOR(133, 134)
T453:	137 = INIT1
T454:	137 = NOR(135, 136)
T455:	135 = INIT1
T456:	135 = NOR(137, 132)
T457:	136 = INIT1
T458:	136 = NOR(135, 137)
T459:	137 = INIT1
T460:	137 = NOR(135, 132)
T461:	123 = INIT1
T462:	123 = NOR(137, 136)
T463:	132 = INIT1
T464:	132 = NOR(134, 135)
T465:	133 = INIT1
T466:	133 = NOT(63)
T467:	134 = INIT1
T468:	134 = NOR(31, 133)
T469:	135 = INIT1
T470:	135 = NOR(31, 134)
T471:	136 = INIT1
T472:	136 = NOR(133, 134)
T473:	137 = INIT1
T474:	137 = NOR(135, 136)
T475:	135 = INIT1
T476:	135 = NOR(137, 132)
T477:	136 = INIT1
T478:	136 = NOR(135, 137)
T479:	137 = INIT1
T480:	137 = NOR(135, 132)
T481:	124 = INIT1
T482:	124 = NOR(137, 136)
T483:	132 = INIT1
T484:	132 = NOR(134, 135)
T485:	133 = INIT1
T486:	133 = NOT(97)
T487:	134 = INIT1
T488:	134 = NOR(96, 133)
T489:	135 = INIT1
T490:	135 = NOR(96, 134)
T491:	136 = INIT1
T492:	136 = NOR(133, 134)
T493:	137 = INIT1
T494:	137 = NOR(135, 136)
T495:	135 = INIT1
T496:	135 = NOR(137, 132)
T497:	136 = INIT1
T498:	136 = NOR(135, 137)
T499:	137 = INIT1
T500:	137 = NOR(135, 132)
T501:	125 = INIT1
T502:	125 = NOR(137, 136)
T503:	132 = INIT1
T504:	132 = NOR(134, 135)
T505:	133 = INIT1
T506:	133 = NOT(99)
T507:	134 = INIT1
T508:	134 = NOR(99, 133)
T509:	135 = INIT1
T510:	135 = NOR(99, 134)
T511:	136 = INIT1
T512:	136 = NOR(133, 134)
T513:	137 = INIT1
T514:	137 = NOR(135, 136)
T515:	135 = INIT1
T516:	135 = NOR(137, 132)
T517:	136 = INIT1
T518:	136 = NOR(135, 137)
T519:	137 = INIT1
T520:	137 = NOR(135, 132)
T521:	126 = INIT1
T522:	126 = NOR(137, 136)
T523:	132 = INIT1
T524:	132 = NOR(134, 135)
T525:	133 = INIT1
T526:	133 = NOT(99)
T527:	134 = INIT1
T528:	134 = NOR(99, 133)
T529:	135 = INIT1
T530:	135 = NOR(99, 134)
T531:	136 = INIT1
T532:	136 = NOR(133, 134)
T533:	137 = INIT1
T534:	137 = NOR(135, 136)
T535:	135 = INIT1
T536:	135 = NOR(137, 132)
T537:	136 = INIT1
T538:	136 = NOR(135, 137)
T539:	137 = INIT1
T540:	137 = NOR(135, 132)
T541:	127 = INIT1
T542:	127 = NOR(137, 136)
T543:	132 = INIT1
T544:	132 = NOR(134, 135)
T545:	133 = INIT1
T546:	133 = NOT(129)
T547:	134 = INIT1
T548:	134 = NOR(99, 133)
T549:	135 = INIT1
T550:	135 = NOR(99, 134)
T551:	136 = INIT1
T552:	136 = NOR(133, 134)
T553:	137 = INIT1
T554:	137 = NOR(135, 136)
T555:	135 = INIT1
T556:	135 = NOR(137, 132)
T557:	136 = INIT1
T558:	136 = NOR(135, 137)
T559:	137 = INIT1
T560:	137 = NOR(135, 132)
T561:	128 = INIT1
T562:	128 = NOR(137, 136)
T563:	132 = INIT1
T564:	132 = NOR(134, 135)
T565:	133 = INIT1
T566:	133 = NOT(129)
T567:	134 = INIT1
T568:	134 = NOR(129, 133)
T569:	135 = INIT1
T570:	135 = NOR(129, 134)
T571:	136 = INIT1
T572:	136 = NOR(133, 134)
T573:	137 = INIT1
T574:	137 = NOR(135, 136)
T575:	135 = INIT1
T576:	135 = NOR(137, 132)
T577:	136 = INIT1
T578:	136 = NOR(135, 137)
T579:	137 = INIT1
T580:	137 = NOR(135, 132)
T581:	130 = INIT1
T582:	130 = NOR(137, 136)
T583:	132 = INIT1
T584:	132 = NOR(134, 135)
T585:	98  = INIT1
T586:	98  = NOT(130)
T587:	129 = INIT1
T588:	129 = NOT(98)
T589:	134 = INIT1
T590:	134 = NOT(41)
T591:	135 = INIT1
T592:	135 = NOR(41, 98)
T593:	136 = INIT1
T594:	136 = NOR(134, 129)
T595:	133 = INIT1
T596:	133 = NOR(135, 136)
T597:	134 = INIT1
T598:	134 = NOR(99, 133)
T599:	135 = INIT1
T600:	135 = NOR(99, 134)
T601:	136 = INIT1
T602:	136 = NOR(133, 134)
T603:	137 = INIT1
T604:	137 = NOR(135, 136)
T605:	135 = INIT1
T606:	135 = NOR(137, 98)
T607:	136 = INIT1
T608:	136 = NOR(135, 137)
T609:	137 = INIT1
T610:	137 = NOR(135, 98)
T611:	130 = INIT1
T612:	130 = NOR(137, 136)
T613:	132 = INIT1
T614:	132 = NOR(134, 135)
T615:	134 = INIT1
T616:	134 = NOT(42)
T617:	135 = INIT1
T618:	135 = NOR(42, 98)
T619:	136 = INIT1
T620:	136 = NOR(134, 129)
T621:	133 = INIT1
T622:	133 = NOR(135, 136)
T623:	134 = INIT1
T624:	134 = NOR(131, 133)
T625:	135 = INIT1
T626:	135 = NOR(131, 134)
T627:	136 = INIT1
T628:	136 = NOR(133, 134)
T629:	137 = INIT1
T630:	137 = NOR(135, 136)
T631:	135 = INIT1
T632:	135 = NOR(137, 132)
T633:	136 = INIT1
T634:	136 = NOR(135, 137)
T635:	137 = INIT1
T636:	137 = NOR(135, 132)
T637:	131 = INIT1
T638:	131 = NOR(137, 136)
T639:	132 = INIT1
T640:	132 = NOR(134, 135)
T641:	134 = INIT1
T642:	134 = NOT(43)
T643:	135 = INIT1
T644:	135 = NOR(43, 98)
T645:	136 = INIT1
T646:	136 = NOR(134, 129)
T647:	133 = INIT1
T648:	133 = NOR(135, 136)
T649:	134 = INIT1
T650:	134 = NOR(103, 133)
T651:	135 = INIT1
T652:	135 = NOR(103, 134)
T653:	136 = INIT1
T654:	136 = NOR(133, 134)
T655:	137 = INIT1
T656:	137 = NOR(135, 136)
T657:	135 = INIT1
T658:	135 = NOR(137, 132)
T659:	136 = INIT1
T660:	136 = NOR(135, 137)
T661:	137 = INIT1
T662:	137 = NOR(135, 132)
T663:	103 = INIT1
T664:	103 = NOR(137, 136)
T665:	132 = INIT1
T666:	132 = NOR(134, 135)
T667:	134 = INIT1
T668:	134 = NOT(44)
T669:	135 = INIT1
T670:	135 = NOR(44, 98)
T671:	136 = INIT1
T672:	136 = NOR(134, 129)
T673:	133 = INIT1
T674:	133 = NOR(135, 136)
T675:	134 = INIT1
T676:	134 = NOR(104, 133)
T677:	135 = INIT1
T678:	135 = NOR(104, 134)
T679:	136 = INIT1
T680:	136 = NOR(133, 134)
T681:	137 = INIT1
T682:	137 = NOR(135, 136)
T683:	135 = INIT1
T684:	135 = NOR(137, 132)
T685:	136 = INIT1
T686:	136 = NOR(135, 137)
T687:	137 = INIT1
T688:	137 = NOR(135, 132)
T689:	104 = INIT1
T690:	104 = NOR(137, 136)
T691:	132 = INIT1
T692:	132 = NOR(134, 135)
T693:	134 = INIT1
T694:	134 = NOT(45)
T695:	135 = INIT1
T696:	135 = NOR(45, 98)
T697:	136 = INIT1
T698:	136 = NOR(134, 129)
T699:	133 = INIT1
T700:	133 = NOR(135, 136)
T701:	134 = INIT1
T702:	134 = NOR(105, 133)
T703:	135 = INIT1
T704:	135 = NOR(105, 134)
T705:	136 = INIT1
T706:	136 = NOR(133, 134)
T707:	137 = INIT1
T708:	137 = NOR(135, 136)
T709:	135 = INIT1
T710:	135 = NOR(137, 132)
T711:	136 = INIT1
T712:	136 = NOR(135, 137)
T713:	137 = INIT1
T714:	137 = NOR(135, 132)
T715:	105 = INIT1
T716:	105 = NOR(137, 136)
T717:	132 = INIT1
T718:	132 = NOR(134, 135)
T719:	134 = INIT1
T720:	134 = NOT(46)
T721:	135 = INIT1
T722:	135 = NOR(46, 98)
T723:	136 = INIT1
T724:	136 = NOR(134, 129)
T725:	133 = INIT1
T726:	133 = NOR(135, 136)
T727:	134 = INIT1
T728:	134 = NOR(106, 133)
T729:	135 = INIT1
T730:	135 = NOR(106, 134)
T731:	136 = INIT1
T732:	136 = NOR(133, 134)
T733:	137 = INIT1
T734:	137 = NOR(135, 136)
T735:	135 = INIT1
T736:	135 = NOR(137, 132)
T737:	136 = INIT1
T738:	136 = NOR(135, 137)
T739:	137 = INIT1
T740:	137 = NOR(135, 132)
T741:	106 = INIT1
T742:	106 = NOR(137, 136)
T743:	132 = INIT1
T744:	132 = NOR(134, 135)
T745:	134 = INIT1
T746:	134 = NOT(47)
T747:	135 = INIT1
T748:	135 = NOR(47, 98)
T749:	136 = INIT1
T750:	136 = NOR(134, 129)
T751:	133 = INIT1
T752:	133 = NOR(135, 136)
T753:	134 = INIT1
T754:	134 = NOR(107, 133)
T755:	135 = INIT1
T756:	135 = NOR(107, 134)
T757:	136 = INIT1
T758:	136 = NOR(133, 134)
T759:	137 = INIT1
T760:	137 = NOR(135, 136)
T761:	135 = INIT1
T762:	135 = NOR(137, 132)
T763:	136 = INIT1
T764:	136 = NOR(135, 137)
T765:	137 = INIT1
T766:	137 = NOR(135, 132)
T767:	107 = INIT1
T768:	107 = NOR(137, 136)
T769:	132 = INIT1
T770:	132 = NOR(134, 135)
T771:	134 = INIT1
T772:	134 = NOT(48)
T773:	135 = INIT1
T774:	135 = NOR(48, 98)
T775:	136 = INIT1
T776:	136 = NOR(134, 129)
T777:	133 = INIT1
T778:	133 = NOR(135, 136)
T779:	134 = INIT1
T780:	134 = NOR(108, 133)
T781:	135 = INIT1
T782:	135 = NOR(108, 134)
T783:	136 = INIT1
T784:	136 = NOR(133, 134)
T785:	137 = INIT1
T786:	137 = NOR(135, 136)
T787:	135 = INIT1
T788:	135 = NOR(137, 132)
T789:	136 = INIT1
T790:	136 = NOR(135, 137)
T791:	137 = INIT1
T792:	137 = NOR(135, 132)
T793:	108 = INIT1
T794:	108 = NOR(137, 136)
T795:	132 = INIT1
T796:	132 = NOR(134, 135)
T797:	134 = INIT1
T798:	134 = NOT(49)
T799:	135 = INIT1
T800:	135 = NOR(49, 98)
T801:	136 = INIT1
T802:	136 = NOR(134, 129)
T803:	133 = INIT1
T804:	133 = NOR(135, 136)
T805:	134 = INIT1
T806:	134 = NOR(109, 133)
T807:	135 = INIT1
T808:	135 = NOR(109, 134)
T809:	136 = INIT1
T810:	136 = NOR(133, 134)
T811:	137 = INIT1
T812:	137 = NOR(135, 136)
T813:	135 = INIT1
T814:	135 = NOR(137, 132)
T815:	136 = INIT1
T816:	136 = NOR(135, 137)
T817:	137 = INIT1
T818:	137 = NOR(135, 132)
T819:	109 = INIT1
T820:	109 = NOR(137, 136)
T821:	132 = INIT1
T822:	132 = NOR(134, 135)
T823:	134 = INIT1
T824:	134 = NOT(50)
T825:	135 = INIT1
T826:	135 = NOR(50, 98)
T827:	136 = INIT1
T828:	136 = NOR(134, 129)
T829:	133 = INIT1
T830:	133 = NOR(135, 136)
T831:	134 = INIT1
T832:	134 = NOR(110, 133)
T833:	135 = INIT1
T834:	135 = NOR(110, 134)
T835:	136 = INIT1
T836:	136 = NOR(133, 134)
T837:	137 = INIT1
T838:	137 = NOR(135, 136)
T839:	135 = INIT1
T840:	135 = NOR(137, 132)
T841:	136 = INIT1
T842:	136 = NOR(135, 137)
T843:	137 = INIT1
T844:	137 = NOR(135, 132)
T845:	110 = INIT1
T846:	110 = NOR(137, 136)
T847:	132 = INIT1
T848:	132 = NOR(134, 135)
T849:	134 = INIT1
T850:	134 = NOT(51)
T851:	135 = INIT1
T852:	135 = NOR(51, 98)
T853:	136 = INIT1
T854:	136 = NOR(134, 129)
T855:	133 = INIT1
T856:	133 = NOR(135, 136)
T857:	134 = INIT1
T858:	134 = NOR(111, 133)
T859:	135 = INIT1
T860:	135 = NOR(111, 134)
T861:	136 = INIT1
T862:	136 = NOR(133, 134)
T863:	137 = INIT1
T864:	137 = NOR(135, 136)
T865:	135 = INIT1
T866:	135 = NOR(137, 132)
T867:	136 = INIT1
T868:	136 = NOR(135, 137)
T869:	137 = INIT1
T870:	137 = NOR(135, 132)
T871:	111 = INIT1
T872:	111 = NOR(137, 136)
T873:	132 = INIT1
T874:	132 = NOR(134, 135)
T875:	134 = INIT1
T876:	134 = NOT(52)
T877:	135 = INIT1
T878:	135 = NOR(52, 98)
T879:	136 = INIT1
T880:	136 = NOR(134, 129)
T881:	133 = INIT1
T882:	133 = NOR(135, 136)
T883:	134 = INIT1
T884:	134 = NOR(112, 133)
T885:	135 = INIT1
T886:	135 = NOR(112, 134)
T887:	136 = INIT1
T888:	136 = NOR(133, 134)
T889:	137 = INIT1
T890:	137 = NOR(135, 136)
T891:	135 = INIT1
T892:	135 = NOR(137, 132)
T893:	136 = INIT1
T894:	136 = NOR(135, 137)
T895:	137 = INIT1
T896:	137 = NOR(135, 132)
T897:	112 = INIT1
T898:	112 = NOR(137, 136)
T899:	132 = INIT1
T900:	132 = NOR(134, 135)
T901:	134 = INIT1
T902:	134 = NOT(53)
T903:	135 = INIT1
T904:	135 = NOR(53, 98)
T905:	136 = INIT1
T906:	136 = NOR(134, 129)
T907:	133 = INIT1
T908:	133 = NOR(135, 136)
T909:	134 = INIT1
T910:	134 = NOR(113, 133)
T911:	135 = INIT1
T912:	135 = NOR(113, 134)
T913:	136 = INIT1
T914:	136 = NOR(133, 134)
T915:	137 = INIT1
T916:	137 = NOR(135, 136)
T917:	135 = INIT1
T918:	135 = NOR(137, 132)
T919:	136 = INIT1
T920:	136 = NOR(135, 137)
T921:	137 = INIT1
T922:	137 = NOR(135, 132)
T923:	113 = INIT1
T924:	113 = NOR(137, 136)
T925:	132 = INIT1
T926:	132 = NOR(134, 135)
T927:	134 = INIT1
T928:	134 = NOT(54)
T929:	135 = INIT1
T930:	135 = NOR(54, 98)
T931:	136 = INIT1
T932:	136 = NOR(134, 129)
T933:	133 = INIT1
T934:	133 = NOR(135, 136)
T935:	134 = INIT1
T936:	134 = NOR(114, 133)
